-1	int	main	(	)	{	return	0	;	}	‘’	float	Boolean	string	[a-zA-Z]+(a-zA-Z0-9_)*	plus_minus	[0-9]+	[0-9]+.[0-9]+	true	false	string_placeholder	,	if_else	stmt	=	+=	-=	*=	/=	+	-	*	/	++	--	for	while	if	else	>	<	>=	<=	==	!=	comments_placeholder	$	S	func_list	func	type	identifier	integer	float_num	bool_vals	string_vals	elements	param_list	code	decl_stmt	expr_stmt	equals	sign	unary_operator	rhs	for_loop	while_loop	if_else_stmt	conditional	conditional_sign	comments	funct_calls	passed_param
34	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
35	-	-	-	-	-	-	-	-	-	s59	-	-	-	-	-	-	-	-	-	-	-	-	-	s52	s53	s54	s55	s56	-	-	-	-	s57	s58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	-	51	-	-	-	-	-	-	-	-	-
36	-	-	s60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
37	-	-	s61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
38	r60	-	-	-	-	-	-	-	-	r60	r60	r60	r60	r60	-	-	-	-	-	-	-	r60	-	-	-	-	-	-	-	-	-	-	-	-	r60	r60	-	-	-	-	-	-	-	-	r60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
39	-	-	-	-	-	s62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
40	-	-	-	r21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
41	-	-	-	-	-	-	s63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
42	-	-	-	-	-	r23	-	-	r23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
43	-	-	-	-	-	r24	-	-	r24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
44	-	-	-	-	-	r25	-	-	r25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
45	-	-	-	-	-	r26	-	-	r26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
46	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	64	27	28	-	-	-	-	29	30	-	-	-	32	33	-
47	-	-	-	-	-	r28	-	-	r28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
48	-	-	-	-	-	r29	-	-	r29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
49	-	-	-	-	-	-	-	s65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s52	s53	s54	s55	s56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	-	-	-	-	-	-	-	-	-	-	-
50	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	68	69	70	71	72	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
51	r34	-	-	r34	-	-	-	-	-	r34	r34	r34	r34	r34	-	-	-	-	-	-	-	r34	-	-	-	-	-	-	-	-	-	-	-	-	r34	r34	-	-	-	-	-	-	-	-	r34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
52	-	-	-	-	-	-	-	-	-	-	-	-	-	r35	r35	-	-	r35	r35	r35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
53	-	-	-	-	-	-	-	-	-	-	-	-	-	r36	r36	-	-	r36	r36	r36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
54	-	-	-	-	-	-	-	-	-	-	-	-	-	r37	r37	-	-	r37	r37	r37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
55	-	-	-	-	-	-	-	-	-	-	-	-	-	r38	r38	-	-	r38	r38	r38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
56	-	-	-	-	-	-	-	-	-	-	-	-	-	r39	r39	-	-	r39	r39	r39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
57	r44	-	-	r44	-	-	-	-	-	r44	r44	r44	r44	r44	-	-	-	-	-	-	-	r44	-	-	-	-	-	-	-	-	-	-	-	-	r44	r44	-	-	-	-	-	-	-	-	r44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
58	r45	-	-	r45	-	-	-	-	-	r45	r45	r45	r45	r45	-	-	-	-	-	-	-	r45	-	-	-	-	-	-	-	-	-	-	-	-	r45	r45	-	-	-	-	-	-	-	-	r45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
59	r46	-	-	r46	-	-	-	-	-	r46	r46	r46	r46	r46	-	-	-	-	-	-	-	r46	-	-	-	-	-	-	-	-	-	-	-	-	r46	r46	-	-	-	-	-	-	-	-	r46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
60	s5	-	-	-	-	-	-	-	-	-	s6	s7	s8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	-	-	-	-	-	-	-	-	77	-	-	-	-	-	-	-	-	-	-	-	-	-
61	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	79	-	-	-	78	-	-	-	-
62	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
63	-	-	-	-	-	-	-	s83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
64	-	-	-	-	-	r27	-	-	r27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
65	r30	-	-	-	-	-	-	-	-	r30	r30	r30	r30	r30	r30	-	-	r30	r30	r30	-	r30	-	-	-	-	-	-	-	-	-	-	-	-	r30	r30	-	-	-	-	-	-	-	-	r30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
67	r33	-	-	r33	-	-	-	-	-	r33	r33	r33	r33	r33	-	-	-	-	-	-	-	r33	-	-	-	-	-	-	s86	s87	s88	s89	-	-	r33	r33	-	-	-	-	-	-	-	-	r33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	-	-	-	-	-	-	-	-
68	r14	-	s90	-	-	-	-	-	-	r14	r14	r14	r14	r14	-	-	-	-	-	-	-	r14	-	-	-	-	-	-	r14	r14	r14	r14	-	-	r14	r14	-	-	-	-	-	-	-	-	r14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
69	r15	-	-	r15	-	-	-	r15	-	r15	r15	r15	r15	r15	-	-	-	-	-	-	-	r15	-	-	-	-	-	-	r15	r15	r15	r15	-	-	r15	r15	-	-	r15	r15	r15	r15	r15	r15	r15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
70	r16	-	-	r16	-	-	-	r16	-	r16	r16	r16	r16	r16	-	-	-	-	-	-	-	r16	-	-	-	-	-	-	r16	r16	r16	r16	-	-	r16	r16	-	-	r16	r16	r16	r16	r16	r16	r16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
71	r17	-	-	r17	-	-	-	r17	-	r17	r17	r17	r17	r17	-	-	-	-	-	-	-	r17	-	-	-	-	-	-	r17	r17	r17	r17	-	-	r17	r17	-	-	r17	r17	r17	r17	r17	r17	r17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
72	r18	-	-	r18	-	-	-	r18	-	r18	r18	r18	r18	r18	-	-	-	-	-	-	-	r18	-	-	-	-	-	-	r18	r18	r18	r18	-	-	r18	r18	-	-	r18	r18	r18	r18	r18	r18	r18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s91	s92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
74	r11	-	-	r11	-	-	-	r11	-	r11	r11	r11	r11	r11	-	-	-	-	-	-	-	r11	-	-	-	-	-	-	r11	r11	r11	r11	-	-	r11	r11	-	-	r11	r11	r11	r11	r11	r11	r11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
75	r12	-	-	r12	-	-	-	r12	-	r12	r12	r12	r12	r12	-	-	-	-	-	-	-	r12	-	-	-	-	-	-	r12	r12	r12	r12	-	-	r12	r12	-	-	r12	r12	r12	r12	r12	r12	r12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
76	r13	-	-	r13	-	-	-	r13	-	r13	r13	r13	r13	r13	-	-	-	-	-	-	-	r13	-	-	-	-	-	-	r13	r13	r13	r13	-	-	r13	r13	-	-	r13	r13	r13	r13	r13	r13	r13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
77	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	79	-	-	-	93	-	-	-	-
78	-	-	-	s94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s96	s97	s98	s99	s100	s101	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	-	-	-
